,drone_model,dataset,controller,sentence_id,words,labels
0,DJI_Inspire_1,df010,mobile_iOS,1,Taking,B-ACTION
1,DJI_Inspire_1,df010,mobile_iOS,1,Off,I-ACTION
2,DJI_Inspire_1,df010,mobile_iOS,1,.,O
3,DJI_Inspire_1,df010,mobile_iOS,2,Taking,B-ACTION
4,DJI_Inspire_1,df010,mobile_iOS,2,Off,I-ACTION
5,DJI_Inspire_1,df010,mobile_iOS,2,.,O
6,DJI_Inspire_1,df010,mobile_iOS,3,Taking,B-ACTION
7,DJI_Inspire_1,df010,mobile_iOS,3,Off,I-ACTION
8,DJI_Inspire_1,df010,mobile_iOS,3,.,O
9,DJI_Inspire_1,df010,mobile_iOS,4,Taking,B-ACTION
10,DJI_Inspire_1,df010,mobile_iOS,4,Off,I-ACTION
11,DJI_Inspire_1,df010,mobile_iOS,4,.,O
12,DJI_Inspire_1,df010,mobile_iOS,5,Home,B-PARAMETER
13,DJI_Inspire_1,df010,mobile_iOS,5,Point,I-PARAMETER
14,DJI_Inspire_1,df010,mobile_iOS,5,Recorded,O
15,DJI_Inspire_1,df010,mobile_iOS,5,.,O
16,DJI_Inspire_1,df010,mobile_iOS,5,RTH,B-PARAMETER
17,DJI_Inspire_1,df010,mobile_iOS,5,Altitude,I-PARAMETER
18,DJI_Inspire_1,df010,mobile_iOS,5,:,O
19,DJI_Inspire_1,df010,mobile_iOS,5,30m,O
20,DJI_Inspire_1,df010,mobile_iOS,5,.,O
21,DJI_Inspire_1,df010,mobile_iOS,6,Home,B-PARAMETER
22,DJI_Inspire_1,df010,mobile_iOS,6,Point,I-PARAMETER
23,DJI_Inspire_1,df010,mobile_iOS,6,Recorded,O
24,DJI_Inspire_1,df010,mobile_iOS,6,.,O
25,DJI_Inspire_1,df010,mobile_iOS,6,RTH,B-PARAMETER
26,DJI_Inspire_1,df010,mobile_iOS,6,Altitude,I-PARAMETER
27,DJI_Inspire_1,df010,mobile_iOS,6,:,O
28,DJI_Inspire_1,df010,mobile_iOS,6,30m,O
29,DJI_Inspire_1,df010,mobile_iOS,6,.,O
30,DJI_Inspire_1,df010,mobile_iOS,7,Camera,B-STATE
31,DJI_Inspire_1,df010,mobile_iOS,7,Settings,I-STATE
32,DJI_Inspire_1,df010,mobile_iOS,7,Adjusted,O
33,DJI_Inspire_1,df010,mobile_iOS,7,to,O
