CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.cellVoltage5 [V], BATTERY.cellVoltage6 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
6/15/2018,17:17:46,0m 1.0s,1,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,44,7.2,23.4,23.4,P-GPS,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (209),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,20.4,20.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,Data Recorder File Index is 5.,,
6/15/2018,17:17:46,0m 1.1s,1.1,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,43.4,7.1,23.4,23.4,P-GPS,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (209),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,20.1,20.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,,,
6/15/2018,17:17:46,0m 1.2s,1.2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,42.8,7,23.4,23.4,P-GPS,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (209),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,19.9,19.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,,,
6/15/2018,17:17:46,0m 1.3s,1.3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,42.1,7,23.2,23.2,P-GPS,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (209),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,19.9,19.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,,,
6/15/2018,17:17:46,0m 1.4s,1.4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,41.8,6.9,23.1,23.1,P-GPS,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (8),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,19.6,19.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,,,
6/15/2018,17:17:46,0m 1.6s,1.6,0,0,0,0,21.3,0,0,0,0,0,0,0,0,0,42,6.9,23.1,23.1,P-GPS,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (8),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,19.4,19.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,,,
6/15/2018,17:17:46,0m 1.7s,1.7,0,0,0,0,21.3,0,0,0,0,0,0,0,0,0,42,6.9,23.1,23.1,P-GPS,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (8),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,19.3,19.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,,,
6/15/2018,17:17:46,0m 1.8s,1.8,0,0,0,0,21.3,0,0,0,0,0,0,0,0,0,41.9,6.9,23,23,P-GPS,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (8),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,19.3,19.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,,,
6/15/2018,17:17:47,0m 2.1s,2.1,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,41.6,6.9,23,23,Manual Takeoff,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (8),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,19.4,19.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,RTH Altitude: 65FT.,,
6/15/2018,17:17:47,0m 2.2s,2.2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,41.5,6.9,23,23,Manual Takeoff,Unpack Mode,Takeoff (RC Assisted),0,0,FALSE,,Inspire 1,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (8),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,Follow Yaw,29.9,0,19.4,19.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,25.557,4003,4214,25.477,FALSE,4.255,4.256,4.258,4.264,4.266,4.258,0.011,FALSE,FALSE,64.738,73.5,73.5,73.5,0,0,0,15,10,0,0,,Idle,0,30,FALSE,10,TRUE,9,Go Home,,,,5733.9,,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,65.6,36.3,,Calm,5,Android, 3.1.38,RGP Craft,410059536,,03LD015147,6781073611,39.987,0,0.7,0,0.2,1,0,RGP Craft,410059536,,03LD015147,6781073611,,Android, 3.1.38,,,,,,
