timestamp,message
2018-06-15 11:07:46,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:08:00,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:08:02,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:08:15,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:08:19,Cannot Takeoff in Travel Mode. Exit Travel Mode.
2018-06-15 11:08:38,Cannot Takeoff in Travel Mode. Exit Travel Mode.
2018-06-15 11:08:48,Cannot Takeoff in Travel Mode. Exit Travel Mode.
2018-06-15 11:09:09,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:09:16,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:09:18,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:09:26,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:09:32,Cannot Takeoff in Travel Mode. Exit Travel Mode.
2018-06-15 11:10:09,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:10:20,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:11:30,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:11:54,Cannot Takeoff in Travel Mode. Exit Travel Mode.
2018-06-15 11:12:56,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:14:15,Take off and retry this function.
2018-06-15 11:14:20,Cannot Takeoff in Travel Mode. Exit Travel Mode.
2018-06-15 11:14:56,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:14:59,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:15:12,Take off in P-Mode
2018-06-15 11:15:57,Cannot Takeoff in Travel Mode. Exit Travel Mode.
2018-06-15 11:16:38,Landing Gear Lowering
2018-06-15 11:16:41,Landing Gear Lowered
2018-06-15 11:16:44,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution."
2018-06-15 11:17:46,Return-to-Home Altitude:65FT
2018-06-15 11:18:23,Landing
2018-06-15 11:18:40,Take off in P-Mode
2018-06-15 11:19:03,Flight Mode Set to Attitude
