date,time,message
06/19/2018,14:57:23,Home Point recorded. Return-to-Home Altitude:98FT
06/19/2018,14:58:19,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
06/19/2018,15:01:27,High wind velocity. Fly with caution and land in a safe place ASAP.
06/19/2018,15:01:58,Warning
06/19/2018,15:01:58,The remaining battery is only enough for RTH. Return home now.
06/19/2018,15:02:00,Low power. Returning home.
06/19/2018,15:03:00,Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.
06/19/2018,15:03:02,Precision Landing
06/19/2018,15:03:02,Correcting Landing Position
06/19/2018,15:03:09,Precision Landing
06/19/2018,15:03:09,Correcting Landing Position
06/19/2018,15:03:16,Precision Landing
06/19/2018,15:03:16,Correcting Landing Position
06/19/2018,15:03:22,Precision Landing
06/19/2018,15:03:22,Correcting Landing Position
06/19/2018,15:04:07,Forward Obstacle Sensing is not functioning.
06/19/2018,15:04:07,Ambient Light is too weak.
06/19/2018,15:04:09,Backward Obstacle Sensing is not functioning.
06/19/2018,15:04:09,Ambient Light is too weak.
