date,time,message
06/19/2018,14:05:36,Backward Obstacle Sensing is not functioning.
06/19/2018,14:05:39,Backward Obstacle Sensing is not functioning.
06/19/2018,14:05:44,Backward Obstacle Sensing is not functioning.
06/19/2018,14:05:44,Ambient Light is too weak.
06/19/2018,14:08:51,Home Point recorded. Return-to-Home Altitude:98FT
06/19/2018,14:09:20,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
06/19/2018,14:10:57,Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.
06/19/2018,14:12:56,High wind velocity. Fly with caution and land in a safe place ASAP.
06/19/2018,14:13:14,Forward Obstacle Sensing is not functioning.
06/19/2018,14:13:14,Attitude is too large. Backward Obstacle Sensing is not functioning.
06/19/2018,14:15:43,Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.
06/19/2018,14:16:15,Forward Obstacle Sensing is not functioning.
06/19/2018,14:16:15,Ambient Light is too weak.
