date,time,message
6/19/2018,0:08:28,Data Recorder File Index is 4.
6/19/2018,0:08:30,Home Point Updated.
6/19/2018,0:11:02,Downlink Restored (after 0m 5.6s).
6/19/2018,0:11:09,Downlink Restored (after 0m 5.8s).
6/19/2018,0:11:32,Downlink Restored (after 0m 11s).
6/19/2018,0:11:32,Downlink Restored (after 0m 2.2s).
6/19/2018,0:13:15,Attitude is too large. Backward Obstacle Sensing is not functioning.
6/19/2018,0:15:43,Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.
6/19/2018,0:08:51,Home Point recorded. Return-to-Home Altitude:98FT.
6/19/2018,0:09:20,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
6/19/2018,0:10:42,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
6/19/2018,0:10:58,Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.; Downlink Lost.
6/19/2018,0:11:04,Downlink Lost.
6/19/2018,0:11:09,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.; Downlink Lost.
6/19/2018,0:11:18,Downlink Lost.
6/19/2018,0:11:31,Downlink Lost.
6/19/2018,0:12:11,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
6/19/2018,0:12:32,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
6/19/2018,0:12:56,High wind velocity. Fly with caution and land in a safe place ASAP.
6/19/2018,0:13:14,Forward Obstacle Sensing is not functioning.
6/19/2018,0:13:36,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
6/19/2018,0:13:56,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
6/19/2018,0:14:02,High wind velocity. Fly with caution and land in a safe place ASAP.
6/19/2018,0:14:13,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
6/19/2018,0:14:49,High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.
